ticker,result,open_time,close_time
KXDOGE15M-26MAR192030-30,no,2026-03-20T00:15:00Z,2026-03-20T00:30:00Z
KXDOGE15M-26MAR192015-15,yes,2026-03-20T00:00:00Z,2026-03-20T00:15:00Z
KXDOGE15M-26MAR192000-00,yes,2026-03-19T23:45:00Z,2026-03-20T00:00:00Z
KXDOGE15M-26MAR191945-45,no,2026-03-19T23:30:00Z,2026-03-19T23:45:00Z
KXDOGE15M-26MAR191930-30,no,2026-03-19T23:15:00Z,2026-03-19T23:30:00Z
KXDOGE15M-26MAR191915-15,yes,2026-03-19T23:00:00Z,2026-03-19T23:15:00Z
KXDOGE15M-26MAR191900-00,yes,2026-03-19T22:45:00Z,2026-03-19T23:00:00Z
KXDOGE15M-26MAR191845-45,no,2026-03-19T22:30:00Z,2026-03-19T22:45:00Z
KXDOGE15M-26MAR191830-30,yes,2026-03-19T22:15:00Z,2026-03-19T22:30:00Z
KXDOGE15M-26MAR191815-15,no,2026-03-19T22:00:00Z,2026-03-19T22:15:00Z
KXDOGE15M-26MAR191800-00,yes,2026-03-19T21:45:00Z,2026-03-19T22:00:00Z
KXDOGE15M-26MAR191745-45,yes,2026-03-19T21:30:00Z,2026-03-19T21:45:00Z
KXDOGE15M-26MAR191730-30,no,2026-03-19T21:15:00Z,2026-03-19T21:30:00Z
KXDOGE15M-26MAR191715-15,yes,2026-03-19T21:00:00Z,2026-03-19T21:15:00Z
KXDOGE15M-26MAR191700-00,yes,2026-03-19T20:45:00Z,2026-03-19T21:00:00Z
KXDOGE15M-26MAR191645-45,yes,2026-03-19T20:30:00Z,2026-03-19T20:45:00Z
KXDOGE15M-26MAR191630-30,yes,2026-03-19T20:15:00Z,2026-03-19T20:30:00Z
KXDOGE15M-26MAR191615-15,yes,2026-03-19T20:00:00Z,2026-03-19T20:15:00Z
KXDOGE15M-26MAR191600-00,no,2026-03-19T19:45:00Z,2026-03-19T20:00:00Z
KXDOGE15M-26MAR191545-45,yes,2026-03-19T19:30:00Z,2026-03-19T19:45:00Z
KXDOGE15M-26MAR191530-30,no,2026-03-19T19:15:00Z,2026-03-19T19:30:00Z
KXDOGE15M-26MAR191515-15,yes,2026-03-19T19:00:00Z,2026-03-19T19:15:00Z
KXDOGE15M-26MAR191500-00,yes,2026-03-19T18:45:00Z,2026-03-19T19:00:00Z
KXDOGE15M-26MAR191445-45,no,2026-03-19T18:30:00Z,2026-03-19T18:45:00Z
KXDOGE15M-26MAR191430-30,no,2026-03-19T18:15:00Z,2026-03-19T18:30:00Z
KXDOGE15M-26MAR191415-15,yes,2026-03-19T18:00:00Z,2026-03-19T18:15:00Z
KXDOGE15M-26MAR191400-00,yes,2026-03-19T17:45:00Z,2026-03-19T18:00:00Z
KXDOGE15M-26MAR191345-45,no,2026-03-19T17:30:00Z,2026-03-19T17:45:00Z
KXDOGE15M-26MAR191330-30,yes,2026-03-19T17:15:00Z,2026-03-19T17:30:00Z
KXDOGE15M-26MAR191315-15,no,2026-03-19T17:00:00Z,2026-03-19T17:15:00Z
KXDOGE15M-26MAR191300-00,no,2026-03-19T16:45:00Z,2026-03-19T17:00:00Z
KXDOGE15M-26MAR191245-45,yes,2026-03-19T16:30:00Z,2026-03-19T16:45:00Z
KXDOGE15M-26MAR191230-30,no,2026-03-19T16:15:00Z,2026-03-19T16:30:00Z
KXDOGE15M-26MAR191215-15,no,2026-03-19T16:00:00Z,2026-03-19T16:15:00Z
KXDOGE15M-26MAR191200-00,yes,2026-03-19T15:45:00Z,2026-03-19T16:00:00Z
KXDOGE15M-26MAR191145-45,yes,2026-03-19T15:30:00Z,2026-03-19T15:45:00Z
KXDOGE15M-26MAR191130-30,no,2026-03-19T15:15:00Z,2026-03-19T15:30:00Z
KXDOGE15M-26MAR191115-15,yes,2026-03-19T15:00:00Z,2026-03-19T15:15:00Z
KXDOGE15M-26MAR191100-00,yes,2026-03-19T14:45:00Z,2026-03-19T15:00:00Z
KXDOGE15M-26MAR191045-45,yes,2026-03-19T14:30:00Z,2026-03-19T14:45:00Z
KXDOGE15M-26MAR191030-30,no,2026-03-19T14:15:00Z,2026-03-19T14:30:00Z
KXDOGE15M-26MAR191015-15,no,2026-03-19T14:00:00Z,2026-03-19T14:15:00Z
KXDOGE15M-26MAR191000-00,no,2026-03-19T13:45:00Z,2026-03-19T14:00:00Z
KXDOGE15M-26MAR190945-45,yes,2026-03-19T13:30:00Z,2026-03-19T13:45:00Z
KXDOGE15M-26MAR190930-30,yes,2026-03-19T13:15:00Z,2026-03-19T13:30:00Z
KXDOGE15M-26MAR190915-15,no,2026-03-19T13:00:00Z,2026-03-19T13:15:00Z
KXDOGE15M-26MAR190900-00,no,2026-03-19T12:45:00Z,2026-03-19T13:00:00Z
KXDOGE15M-26MAR190845-45,no,2026-03-19T12:30:00Z,2026-03-19T12:45:00Z
KXDOGE15M-26MAR190830-30,no,2026-03-19T12:15:00Z,2026-03-19T12:30:00Z
KXDOGE15M-26MAR190815-15,no,2026-03-19T12:00:00Z,2026-03-19T12:15:00Z
KXDOGE15M-26MAR190800-00,yes,2026-03-19T11:45:00Z,2026-03-19T12:00:00Z
KXDOGE15M-26MAR190745-45,no,2026-03-19T11:30:00Z,2026-03-19T11:45:00Z
KXDOGE15M-26MAR190730-30,yes,2026-03-19T11:15:00Z,2026-03-19T11:30:00Z
KXDOGE15M-26MAR190715-15,no,2026-03-19T11:00:00Z,2026-03-19T11:15:00Z
KXDOGE15M-26MAR190700-00,no,2026-03-19T10:45:00Z,2026-03-19T11:00:00Z
KXDOGE15M-26MAR190645-45,no,2026-03-19T10:30:00Z,2026-03-19T10:45:00Z
KXDOGE15M-26MAR190630-30,no,2026-03-19T10:15:00Z,2026-03-19T10:30:00Z
KXDOGE15M-26MAR190615-15,no,2026-03-19T10:00:00Z,2026-03-19T10:15:00Z
KXDOGE15M-26MAR190600-00,yes,2026-03-19T09:45:00Z,2026-03-19T10:00:00Z
KXDOGE15M-26MAR190545-45,yes,2026-03-19T09:30:00Z,2026-03-19T09:45:00Z
KXDOGE15M-26MAR190530-30,yes,2026-03-19T09:15:00Z,2026-03-19T09:30:00Z
KXDOGE15M-26MAR190515-15,yes,2026-03-19T09:00:00Z,2026-03-19T09:15:00Z
KXDOGE15M-26MAR190200-00,yes,2026-03-19T05:45:00Z,2026-03-19T06:00:00Z
KXDOGE15M-26MAR190145-45,yes,2026-03-19T05:30:00Z,2026-03-19T05:45:00Z
KXDOGE15M-26MAR190130-30,no,2026-03-19T05:15:00Z,2026-03-19T05:30:00Z
KXDOGE15M-26MAR190115-15,no,2026-03-19T05:00:00Z,2026-03-19T05:15:00Z
KXDOGE15M-26MAR190100-00,no,2026-03-19T04:45:00Z,2026-03-19T05:00:00Z
KXDOGE15M-26MAR190045-45,yes,2026-03-19T04:30:00Z,2026-03-19T04:45:00Z
KXDOGE15M-26MAR190030-30,no,2026-03-19T04:15:00Z,2026-03-19T04:30:00Z
KXDOGE15M-26MAR190015-15,no,2026-03-19T04:00:00Z,2026-03-19T04:15:00Z
KXDOGE15M-26MAR190000-00,yes,2026-03-19T03:45:00Z,2026-03-19T04:00:00Z
KXDOGE15M-26MAR182345-45,no,2026-03-19T03:30:00Z,2026-03-19T03:45:00Z
KXDOGE15M-26MAR182330-30,yes,2026-03-19T03:15:00Z,2026-03-19T03:30:00Z
KXDOGE15M-26MAR182315-15,yes,2026-03-19T03:00:00Z,2026-03-19T03:15:00Z
KXDOGE15M-26MAR182300-00,no,2026-03-19T02:45:00Z,2026-03-19T03:00:00Z
KXDOGE15M-26MAR182245-45,yes,2026-03-19T02:30:00Z,2026-03-19T02:45:00Z
KXDOGE15M-26MAR182230-30,no,2026-03-19T02:15:00Z,2026-03-19T02:30:00Z
KXDOGE15M-26MAR182215-15,no,2026-03-19T02:00:00Z,2026-03-19T02:15:00Z
KXDOGE15M-26MAR182200-00,no,2026-03-19T01:45:00Z,2026-03-19T02:00:00Z
KXDOGE15M-26MAR182145-45,yes,2026-03-19T01:30:00Z,2026-03-19T01:45:00Z
KXDOGE15M-26MAR182130-30,no,2026-03-19T01:15:00Z,2026-03-19T01:30:00Z
KXDOGE15M-26MAR182115-15,no,2026-03-19T01:00:00Z,2026-03-19T01:15:00Z
KXDOGE15M-26MAR182100-00,yes,2026-03-19T00:45:00Z,2026-03-19T01:00:00Z
KXDOGE15M-26MAR182045-45,no,2026-03-19T00:30:00Z,2026-03-19T00:45:00Z
KXDOGE15M-26MAR182030-30,yes,2026-03-19T00:15:00Z,2026-03-19T00:30:00Z
KXDOGE15M-26MAR182015-15,yes,2026-03-19T00:00:00Z,2026-03-19T00:15:00Z
KXDOGE15M-26MAR182000-00,yes,2026-03-18T23:45:00Z,2026-03-19T00:00:00Z
KXDOGE15M-26MAR181945-45,yes,2026-03-18T23:30:00Z,2026-03-18T23:45:00Z
KXDOGE15M-26MAR181930-30,yes,2026-03-18T23:15:00Z,2026-03-18T23:30:00Z
KXDOGE15M-26MAR181915-15,no,2026-03-18T23:00:00Z,2026-03-18T23:15:00Z
KXDOGE15M-26MAR181900-00,no,2026-03-18T22:45:00Z,2026-03-18T23:00:00Z
KXDOGE15M-26MAR181845-45,no,2026-03-18T22:30:00Z,2026-03-18T22:45:00Z
KXDOGE15M-26MAR181830-30,yes,2026-03-18T22:15:00Z,2026-03-18T22:30:00Z
KXDOGE15M-26MAR181815-15,no,2026-03-18T22:00:00Z,2026-03-18T22:15:00Z
KXDOGE15M-26MAR181800-00,no,2026-03-18T21:45:00Z,2026-03-18T22:00:00Z
KXDOGE15M-26MAR181745-45,yes,2026-03-18T21:30:00Z,2026-03-18T21:45:00Z
KXDOGE15M-26MAR181730-30,yes,2026-03-18T21:15:00Z,2026-03-18T21:30:00Z
KXDOGE15M-26MAR181715-15,yes,2026-03-18T21:00:00Z,2026-03-18T21:15:00Z
KXDOGE15M-26MAR181700-00,yes,2026-03-18T20:45:00Z,2026-03-18T21:00:00Z
KXDOGE15M-26MAR181645-45,yes,2026-03-18T20:30:00Z,2026-03-18T20:45:00Z
KXDOGE15M-26MAR181630-30,yes,2026-03-18T20:15:00Z,2026-03-18T20:30:00Z
KXDOGE15M-26MAR181615-15,no,2026-03-18T20:00:00Z,2026-03-18T20:15:00Z
